time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T11:14:14.550Z,39.6018333,-123.3990021,0.41,1.85,md,8,177,0.141,0.07,nc,nc73104206,2018-10-31T13:57:03.632Z,"12km SE of Laytonville, CA",earthquake,0.63,7.53,0.09,4,automatic,nc,nc
2018-10-31T10:49:50.740Z,36.7621667,-120.9835,5.21,1.21,md,21,139,0.1219,0.11,nc,nc73104196,2018-10-31T21:54:49.043Z,"29km NNE of Pinnacles, CA",earthquake,0.35,1.21,0.154,14,reviewed,nc,nc
2018-10-31T10:48:07.664Z,61.4797,-150.6694,55.7,1.3,ml,,,,0.39,ak,ak20306448,2018-10-31T10:50:57.355Z,"38km W of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-31T10:26:39.253Z,61.6051,-151.4671,71.6,0.8,ml,,,,0.64,ak,ak20306323,2018-10-31T10:31:12.183Z,"77km W of Willow, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-10-31T10:25:12.660Z,37.454,20.8673,10,4.5,mb,,104,1.945,1.15,us,us2000i4iw,2018-10-31T10:45:40.040Z,"29km S of Lithakia, Greece",earthquake,6.7,1.9,0.14,15,reviewed,us,us
2018-10-31T10:18:23.140Z,33.4855,-116.788,4.52,0.7,ml,32,38,0.02872,0.14,ci,ci37409354,2018-10-31T13:41:47.680Z,"9km ENE of Aguanga, CA",earthquake,0.17,0.42,0.101,24,reviewed,ci,ci
2018-10-31T10:14:51.890Z,37.6195,-118.8485,-0.11,1.06,md,7,111,0.01149,0.03,nc,nc73104191,2018-10-31T17:16:02.709Z,"12km E of Mammoth Lakes, CA",earthquake,0.3,0.48,0.25,3,reviewed,nc,nc
2018-10-31T10:14:30.830Z,34.5871667,-116.2753333,1.56,1.38,ml,16,66,0.1399,0.19,ci,ci37409346,2018-10-31T13:40:36.930Z,"18km SW of Ludlow, CA",earthquake,0.41,1.17,0.161,21,reviewed,ci,ci
2018-10-31T10:02:51.700Z,33.9255,-116.8321667,5.91,0.45,ml,12,101,0.09614,0.2,ci,ci37409338,2018-10-31T13:40:37.568Z,"4km E of Banning, CA",earthquake,0.44,1.43,0.114,6,reviewed,ci,ci
2018-10-31T09:58:54.530Z,33.1378333,-116.637,4.79,0.61,ml,20,95,0.06175,0.16,ci,ci37409330,2018-10-31T15:50:02.832Z,"7km NNW of Julian, CA",earthquake,0.26,0.4,0.155,9,reviewed,ci,ci
2018-10-31T09:53:34.080Z,18.875,-67.3056,61,2.93,md,5,328,0.733,0.2,pr,pr2018304003,2018-10-31T11:49:22.389Z,"47km NNW of San Antonio, Puerto Rico",earthquake,3.04,4.99,0.19,5,reviewed,pr,pr
2018-10-31T09:36:50.923Z,63.2193,-150.1428,97.4,1.9,ml,,,,0.64,ak,ak20306309,2018-10-31T09:43:39.970Z,"62km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
