time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T17:26:26.176Z,61.3084,-150.7518,45.8,1.9,ml,,,,0.65,ak,ak20306768,2018-10-31T17:36:56.304Z,"46km WNW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-31T17:25:23.180Z,45.1726667,-112.4275,6.14,0.74,ml,7,134,0.224,0.02,mb,mb80317399,2018-10-31T19:48:06.450Z,"17km ESE of Dillon, Montana",quarry blast,0.29,31.61,0.596,3,reviewed,mb,mb
2018-10-31T17:13:00.260Z,33.482,-116.7925,5.46,2.07,ml,23,63,0.03099,0.1,ci,ci37412181,2018-10-31T19:05:33.128Z,"8km ENE of Aguanga, CA",earthquake,0.19,0.38,0.171,25,reviewed,ci,ci
2018-10-31T17:12:55.150Z,33.479,-116.7923333,4.29,2.14,ml,69,28,0.03395,0.18,ci,ci37409722,2018-10-31T18:51:08.400Z,"8km ENE of Aguanga, CA",earthquake,0.16,0.4,0.185,30,reviewed,ci,ci
2018-10-31T17:12:12.030Z,33.4868333,-116.7866667,4.41,0.8,ml,25,104,0.02792,0.13,ci,ci37409714,2018-10-31T18:43:32.157Z,"9km NE of Aguanga, CA",earthquake,0.22,0.36,0.174,20,reviewed,ci,ci
2018-10-31T17:06:41.530Z,36.0855,-117.8761667,3.23,0.92,ml,16,163,0.03637,0.14,ci,ci37409690,2018-10-31T21:09:46.629Z,"8km NE of Coso Junction, CA",earthquake,0.3,0.47,0.131,10,reviewed,ci,ci
2018-10-31T16:59:28.880Z,34.0188333,-117.1175,8.39,1.76,ml,61,51,0.01712,0.22,ci,ci37409682,2018-10-31T18:22:44.440Z,"6km SSE of Mentone, CA",earthquake,0.26,0.64,0.114,24,reviewed,ci,ci
2018-10-31T16:47:08.320Z,19.3353333,-154.9986667,5.72,2.21,ml,47,214,0.09792,0.2,hv,hv70677447,2018-10-31T20:55:15.200Z,"16km SSW of Leilani Estates, Hawaii",earthquake,0.66,0.61,0.13,13,reviewed,hv,hv
2018-10-31T16:46:33.290Z,33.49,-116.7898333,4.94,0.48,ml,18,176,0.02398,0.09,ci,ci37409658,2018-10-31T18:30:03.807Z,"9km NE of Aguanga, CA",earthquake,0.29,0.6,0.159,8,reviewed,ci,ci
2018-10-31T16:25:50.540Z,19.3431664,-155.1116638,3.6,1.71,ml,45,138,0.04176,0.21,hv,hv70677412,2018-10-31T16:31:32.020Z,"16km SE of Volcano, Hawaii",earthquake,0.46,1.15,0.21,3,automatic,hv,hv
2018-10-31T16:17:35.610Z,37.6251667,-112.2916667,12.94,1.86,ml,10,110,0.1816,0.18,uu,uu60303097,2018-10-31T18:21:36.230Z,"25km SSE of Panguitch, Utah",earthquake,0.51,1.68,0.202,4,reviewed,uu,uu
2018-10-31T16:06:52.730Z,34.1445,-117.7643333,4.8,0.9,ml,12,133,0.08796,0.1,ci,ci37409602,2018-10-31T18:33:07.901Z,"5km N of La Verne, CA",earthquake,0.25,0.97,0.103,9,reviewed,ci,ci
2018-10-31T16:05:55.267Z,64.4814,-147.2384,1.5,1.2,ml,,,,0.67,ak,ak20306756,2018-10-31T16:12:04.627Z,"16km WSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-31T15:54:54.550Z,37.3334999,-121.6965027,7.53,1.36,md,11,78,0.04375,0.03,nc,nc73104301,2018-10-31T18:24:02.443Z,"12km ESE of Alum Rock, CA",earthquake,0.29,0.58,0.14,9,automatic,nc,nc
2018-10-31T15:52:18.360Z,37.3353333,-121.702,7.76,1.2,md,20,67,0.04778,0.04,nc,nc73104296,2018-10-31T21:10:03.753Z,"12km ESE of Alum Rock, CA",earthquake,0.22,0.32,0.132,19,reviewed,nc,nc
2018-10-31T15:51:19.770Z,33.853,-117.483,-0.61,1.51,ml,20,100,0.0688,0.18,ci,ci37409578,2018-10-31T17:11:13.106Z,"4km SE of Home Gardens, CA",quarry blast,0.53,31.61,0.166,30,reviewed,ci,ci
2018-10-31T15:51:03.620Z,60.0306,-153.2815,130.5,1.8,ml,,,,0.86,ak,ak20306630,2018-10-31T16:00:36.760Z,"58km SSW of Redoubt Volcano, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-10-31T15:46:24.603Z,61.6568,-150.0606,39.1,1.2,ml,,,,0.64,ak,ak20306628,2018-10-31T16:00:36.526Z,"10km S of Willow, Alaska",earthquake,,1.1,,,automatic,ak,ak
